#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
2.0889, 8.0323e-12
2.0904, 8.0068e-12
2.092, 8.0069e-12
2.0936, 7.9814e-12
2.0951, 7.9815e-12
2.0967, 7.9561e-12
2.0983, 7.9309e-12
2.0998, 7.9309e-12
2.1014, 7.9057e-12
2.103, 7.9058e-12
2.1045, 7.8807e-12
2.1061, 7.8808e-12
2.1077, 7.8557e-12
2.1092, 7.8558e-12
2.1108, 7.8308e-12
2.1124, 7.8309e-12
2.114, 7.806e-12
2.1155, 7.8061e-12
2.1171, 7.7813e-12
2.1187, 7.7814e-12
2.1203, 7.7566e-12
2.1219, 7.7567e-12
2.1235, 7.7321e-12
2.125, 7.7321e-12
2.1266, 7.7076e-12
2.1282, 7.7076e-12
2.1298, 7.6832e-12
2.1314, 7.6832e-12
2.133, 7.6588e-12
2.1346, 7.6589e-12
2.1362, 7.6345e-12
2.1378, 7.6346e-12
2.1394, 7.6104e-12
2.141, 7.6104e-12
2.1426, 7.5862e-12
2.1442, 7.5863e-12
2.1458, 7.5622e-12
2.1474, 7.5623e-12
2.149, 7.5383e-12
2.1506, 7.5383e-12
2.1522, 7.5144e-12
2.1538, 7.5144e-12
2.1554, 7.4906e-12
2.157, 7.4906e-12
2.1586, 7.4907e-12
2.1602, 7.4669e-12
2.1618, 7.467e-12
2.1634, 7.4432e-12
2.1651, 7.4433e-12
2.1651, 7.4196e-12
2.1667, 7.4197e-12
2.1683, 7.4197e-12
2.1699, 7.3961e-12
2.1715, 7.3962e-12
2.1731, 7.3727e-12
2.1748, 7.3728e-12
2.1764, 7.3728e-12
2.178, 7.3494e-12
2.1796, 7.3495e-12
2.1813, 7.3261e-12
2.1829, 7.3262e-12
2.1844, 7.3029e-12
2.1862, 7.303e-12
2.1878, 7.2798e-12
2.1894, 7.2798e-12
2.1911, 7.2799e-12
2.1927, 7.2568e-12
2.1943, 7.2337e-12
2.196, 7.2338e-12
2.1976, 7.2338e-12
2.1992, 7.2339e-12
2.2009, 7.2109e-12
2.2025, 7.211e-12
2.2042, 7.1881e-12
2.2058, 7.1881e-12
2.2075, 7.1653e-12
2.2091, 7.1425e-12
2.2107, 7.1426e-12
2.2124, 7.1199e-12
2.2141, 7.12e-12
2.2157, 7.12e-12
2.2174, 7.0974e-12
2.219, 7.0975e-12
2.2207, 7.0749e-12
2.2223, 7.075e-12
2.2223, 7.0525e-12
2.224, 7.0525e-12
2.2257, 7.0526e-12
2.2273, 7.0526e-12
2.229, 7.0527e-12
2.2306, 7.0527e-12
2.2323, 7.0528e-12
2.234, 7.0529e-12
2.2356, 7.0529e-12
2.2373, 7.053e-12
2.2389, 7.053e-12
2.2407, 7.0531e-12
2.2423, 7.0532e-12
2.244, 7.0532e-12
2.2457, 7.0533e-12
2.2474, 7.0533e-12
2.249, 7.0534e-12
2.2507, 7.0534e-12
2.2524, 7.031e-12
2.2541, 7.0311e-12
2.2541, 7.0087e-12
2.2558, 6.9864e-12
2.2574, 6.9865e-12
2.2591, 6.9643e-12
2.2591, 6.9421e-12
2.2608, 6.9422e-12
2.2625, 6.9201e-12
2.2642, 6.9202e-12
2.2642, 6.8982e-12
2.2659, 6.8762e-12
2.2676, 6.8763e-12
2.2692, 6.8545e-12
2.2692, 6.8326e-12
2.271, 6.8327e-12
2.2726, 6.811e-12
2.2743, 6.811e-12
2.276, 6.7894e-12
2.2777, 6.7895e-12
2.2793, 6.7895e-12
2.2811, 6.7679e-12
2.2828, 6.768e-12
2.2845, 6.7465e-12
2.2863, 6.7466e-12
2.288, 6.7466e-12
2.2897, 6.7252e-12
2.2913, 6.7252e-12
2.2931, 6.7039e-12
2.2948, 6.7039e-12
2.2965, 6.6826e-12
2.2982, 6.6827e-12
2.2999, 6.6615e-12
2.3017, 6.6615e-12
2.3034, 6.6404e-12
2.3051, 6.6404e-12
2.3068, 6.6193e-12
2.3085, 6.6194e-12
2.3103, 6.6194e-12
2.312, 6.5984e-12
2.3136, 6.5985e-12
2.3154, 6.5775e-12
2.3172, 6.5776e-12
2.3172, 6.5566e-12
2.3189, 6.5567e-12
2.3206, 6.5567e-12
2.3224, 6.5359e-12
2.3241, 6.5359e-12
2.3258, 6.5152e-12
2.3276, 6.5152e-12
2.3293, 6.5153e-12
2.331, 6.4946e-12
2.3328, 6.4946e-12
2.3345, 6.4947e-12
2.3363, 6.4741e-12
2.338, 6.4535e-12
2.3397, 6.433e-12
2.3415, 6.4331e-12
2.3432, 6.4126e-12
2.345, 6.4127e-12
2.3467, 6.3923e-12
2.3485, 6.3924e-12
2.3503, 6.372e-12
2.3519, 6.3721e-12
2.3538, 6.3722e-12
2.3555, 6.3519e-12
2.3573, 6.352e-12
2.359, 6.3318e-12
2.3608, 6.3318e-12
2.3626, 6.3117e-12
2.3643, 6.3118e-12
2.3643, 6.2917e-12
2.366, 6.2917e-12
2.3679, 6.2717e-12
2.3696, 6.2718e-12
2.3714, 6.2519e-12
2.3732, 6.232e-12
2.3749, 6.2321e-12
2.3767, 6.2123e-12
2.3785, 6.2123e-12
2.3803, 6.1926e-12
2.382, 6.1926e-12
2.3838, 6.173e-12
2.3856, 6.1534e-12
2.3874, 6.1534e-12
2.3892, 6.1535e-12
2.3909, 6.1339e-12
2.3927, 6.134e-12
2.3945, 6.1145e-12
